"id","Y","AlsK","AlsI","AlsE","AlsA","AlsB","AlsC","AlsGa","AlsGb","AlsGc","AlsG2a","AlsG2b","AlsG2c","AlsT","AlsR","AlsR2","AlsR3"
"435830.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1655.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1655.49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1115803.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"562973.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1655.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"544580.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1655.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"525246.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"644284.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887326.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887899.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"548479.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"585199.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"871571.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"596328.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"866770.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1120942.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411466.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"649742.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1660.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1276.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1276.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1118058.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1660.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1203556.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1654.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"883077.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1123488.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"184870.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1403948.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1964383.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6666666.201645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1680.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"367928.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1437612.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411481.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"518635.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1683.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"911598.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1042403.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1075106.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"552531.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"555970.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"742729.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1168290.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"580050.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"442563.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28025.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"500634.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"883062.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"702459.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"398513.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1681.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1385943.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1036735.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365961.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365962.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365967.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1385942.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365963.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1385941.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1074482.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365960.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1385940.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365968.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365966.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"326426.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1203540.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365965.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1385939.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"518634.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365964.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6666666.201646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"866777.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1385938.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365969.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"566552.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1686.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"553191.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
